businessZones,city,companyFullName,companyShortName,companySize,createTime,district,education,industryField,industryLables,jobNature,positionId,salary,workYear
,成都,上海冰鉴信息科技有限公司,冰鉴信息科技,50-150人,2018/4/24 17:46,高新区,本科,"信息安全,数据服务","['金融', '机器学习', '科学家', '建模', 'BI']",全职,4429203,15k-25k,3-5年
,成都,成都东方闻道科技发展有限公司,东方闻道,150-500人,2018/5/22 10:37,高新区,本科,"移动互联网,教育","['教育', '资深', '大数据', '数据挖掘']",全职,4583075,10k-15k,3-5年
,成都,成都长天星斗科技有限公司,成都长天星斗,50-150人,2018/5/21 13:35,武侯区,大专,"移动互联网,医疗健康","['医疗健康', '可视化', '产品经理', '大数据']",全职,4576964,8k-15k,1-3年
,成都,瑞数信息技术(上海)有限公司,瑞数信息,50-150人,2018/5/21 10:23,高新区,本科,信息安全,"['信息安全', '算法', '数据挖掘', '机器学习', '深度学习']",全职,4348124,10k-20k,1-3年
,成都,深圳普惠快捷金融服务有限公司,优亿金融,2000人以上,2018/5/18 10:20,高新区,本科,"金融,其他","['医疗健康', '大数据', '数据挖掘']",全职,4373671,8k-10k,1-3年
"['三圣', '春熙路', '红星路']",成都,MICROCRED CHINA LIMITED,美兴中国,500-2000人,2018/5/3 15:07,锦江区,本科,"金融,电子商务",[],全职,1741329,7k-14k,3-5年
['西华'],成都,成都正合云智数据科技有限公司,正合云智,50-150人,2018/5/14 13:52,青羊区,本科,"移动互联网,数据服务",[],全职,4499842,5k-7k,应届毕业生
['太升路'],成都,成都明航科技有限公司,明航科技,150-500人,2018/5/21 10:17,青羊区,本科,移动互联网,"['金融', '建模']",全职,4593733,6k-10k,1-3年
,成都,成都乐超人科技有限公司,分期超人,50-150人,2018/5/23 9:20,高新区,本科,"移动互联网,金融","['金融', '数据挖掘']",全职,4541116,10k-20k,5-10年
"['春熙路', '红星路']",成都,上海钧正网络科技有限公司,哈罗单车,2000人以上,2018/5/22 9:51,锦江区,大专,"移动互联网,硬件",[],全职,4605021,5k-8k,1-3年
